accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means6,accY_means6,accZ_means6,accX_medians6,accY_medians6,accZ_medians6,accX_maxes6,accY_maxes6,accZ_maxes6,accX_mins6,accY_mins6,accZ_mins6,accX_variances6,accY_variances6,accZ_variances6,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,tags
1.883026555,2.600517891,8.99794455,2.0673,3.07881,8.979065,8.74086,6.78248,13.9097,-4.40754,-1.8267,3.19133,1.039111061,2.125646199,0.438745095,1.269977635,1.115493061,9.395215878,0.95764,0.371085,9.58836,8.74086,6.78248,13.9097,-4.40754,-1.8267,3.19133,0.536251562,1.812220309,0.225252234,1.131052038,0.810952283,9.47613528,0.938487,0.361509,9.59315,8.74086,6.78248,13.9097,-4.40754,-1.8267,3.19133,0.350715717,1.226298732,0.144983888,3
0.985790117,0.384607971,9.588520633,0.960034,0.371085,9.59315,1.51068,0.890605,9.70089,0.701471,-0.0790053,9.38247,0.005622912,0.003223505,0.000479881,1.185036976,0.925758094,9.446188513,0.948063,0.366297,9.59315,8.74086,6.78248,13.9097,-4.40754,-1.8267,3.19133,0.423831008,1.467053624,0.176737553,1.094483503,0.734329953,9.495734658,0.933698,0.359115,9.59315,8.74086,6.78248,13.9097,-4.40754,-1.8267,3.19133,0.298955931,1.05124226,0.122749297,3
0.941116232,0.36135332,9.59918245,0.940881,0.361509,9.60034,1.00552,0.39742,9.63146,0.87624,0.327992,9.56921,0.000127048,0.00010063,9.49E-05,1.131052038,0.810952283,9.47613528,0.938487,0.361509,9.59315,8.74086,6.78248,13.9097,-4.40754,-1.8267,3.19133,0.350715717,1.226298732,0.144983888,1.068092926,0.67976902,9.509945707,0.92891,0.359115,9.59315,8.74086,6.78248,13.9097,-4.40754,-1.8267,3.19133,0.260430688,0.91891012,0.106434092,3
0.930215002,0.356553195,9.599106417,0.931304,0.356721,9.59794,1.12044,0.464455,9.63385,0.871452,0.308839,9.56203,0.000178027,0.000136787,9.60E-05,1.094483503,0.734329953,9.495734658,0.933698,0.359115,9.59315,8.74086,6.78248,13.9097,-4.40754,-1.8267,3.19133,0.298955931,1.05124226,0.122749297,1.048667588,0.638624864,9.520292719,0.924122,0.356721,9.59315,8.74086,6.78248,13.9097,-4.40754,-1.8267,3.19133,0.230538926,0.815891767,0.093892223,3
0.915112283,0.351729038,9.59592235,0.914546,0.351933,9.59555,0.955245,0.375874,9.62428,0.888211,0.323203,9.57161,8.91E-05,7.31E-05,8.61E-05,0.932270654,0.359644208,9.595279233,0.924122,0.356721,9.59555,1.51068,0.890605,9.70089,0.701471,-0.0790053,9.38247,0.001733581,0.00076359,0.000168605,1.03264657,0.606056366,9.528887119,0.919334,0.354327,9.59315,8.74086,6.78248,13.9097,-4.40754,-1.8267,3.19133,0.206981028,0.733717179,0.084057576,3
0.911640832,0.351218303,9.59373155,0.912152,0.351933,9.59315,0.986369,0.416573,9.62428,0.797235,0.25138,9.56442,0.000125741,0.00012242,8.95E-05,0.920087339,0.353978841,9.595979428,0.91694,0.354327,9.59555,1.12523,0.493184,9.73201,0.797235,0.25138,9.55724,0.000271522,0.000127326,0.000102502,1.020175305,0.580292451,9.53580689,0.91694,0.354327,9.59555,8.74086,6.78248,13.9097,-4.40754,-1.8267,3.19133,0.187686075,0.666315578,0.076090307,3
0.909749462,0.352403418,9.595212,0.909757,0.351933,9.59555,0.95764,0.404603,9.62667,0.87624,0.28011,9.56682,9.22E-05,0.000108404,8.81E-05,0.913981038,0.351338019,9.595722739,0.912152,0.351933,9.59555,1.12523,0.493184,9.73201,0.797235,0.25138,9.55724,0.000192753,0.000120922,9.85E-05,0.922565888,0.354979835,9.595389967,0.914546,0.351933,9.59555,1.51068,0.890605,9.73201,0.701471,-0.0790053,9.38247,0.001228051,0.000529137,0.000140371,3
0.912690222,0.350615772,9.5927218,0.912152,0.349538,9.59315,1.12523,0.493184,9.73201,0.847511,0.306445,9.55724,0.000215518,0.000136093,0.000124861,0.910267524,0.349982022,9.595552475,0.909757,0.349538,9.59555,1.12523,0.493184,9.73201,0.797235,0.25138,9.55724,0.000122448,0.000105435,9.63E-05,0.91437008,0.351071471,9.595804545,0.912152,0.351933,9.59555,1.12523,0.493184,9.73201,0.797235,0.25138,9.55724,0.000241241,0.000120849,9.59E-05,3
0.904478428,0.345508385,9.597642317,0.904969,0.34475,9.59794,0.938487,0.371085,9.62667,0.852299,0.313627,9.56921,7.68E-05,8.67E-05,7.87E-05,0.908904208,0.349259138,9.595194636,0.909757,0.349538,9.59555,1.12523,0.493184,9.73201,0.797235,0.25138,9.55724,0.000116046,0.000105788,9.53E-05,0.910500806,0.34932697,9.595125398,0.909757,0.349538,9.59555,1.12523,0.493184,9.73201,0.797235,0.25138,9.55724,0.000162635,0.000109656,9.46E-05,3
0.90793392,0.348417213,9.598084833,0.907363,0.349538,9.59794,0.938487,0.371085,9.62667,0.881028,0.323203,9.56682,6.58E-05,7.35E-05,8.88E-05,0.907602741,0.348310143,9.595017114,0.907363,0.347144,9.59555,1.12523,0.493184,9.73201,0.847511,0.28011,9.55724,0.000107325,9.91E-05,9.38E-05,0.90797583,0.348094401,9.594183722,0.907363,0.347144,9.59315,1.12523,0.493184,9.73201,0.797235,0.25138,9.55724,0.000110381,0.000102457,9.46E-05,3
